primary_hgnc_id	secondary_hgnc_id	primary_symbol	secondary_symbol
HGNC:26818	NA	SPTY2D1	DKFZp686I068
HGNC:26818	NA	SPTY2D1	Spt2
HGNC:28139	NA	SPX	MGC10946
HGNC:28139	NA	SPX	NPQ
HGNC:28139	NA	SPX	spexin
HGNC:28139	NA	SPX	SPX1
HGNC:30721	NA	SPZ1	NYD-TSP1
HGNC:30721	NA	SPZ1	FLJ25709
HGNC:30721	NA	SPZ1	PPP1R148
HGNC:55534	NA	SQLE-DT	lnc030
HGNC:20390	NA	SQOR	CGI-44
HGNC:20390	NA	SQOR	SQR
HGNC:11280	NA	SQSTM1	p62
HGNC:11280	NA	SQSTM1	p60
HGNC:11280	NA	SQSTM1	p62B
HGNC:11280	NA	SQSTM1	A170
HGNC:11281	NA	SRA1	SRA
HGNC:11281	NA	SRA1	STRAA1
HGNC:28339	NA	SRARP	MGC24047
HGNC:28339	NA	SRARP	ERRF
HGNC:25521	NA	SRBD1	FLJ10379
HGNC:11283	NA	SRC	ASV
HGNC:11283	NA	SRC	c-src
HGNC:16974	NA	SRCAP	KIAA0309
HGNC:16974	NA	SRCAP	SWR1
HGNC:16974	NA	SRCAP	DOMO1
HGNC:29506	NA	SRCIN1	SNIP
HGNC:29506	NA	SRCIN1	p140Cap
HGNC:29506	NA	SRCIN1	KIAA1684
HGNC:25812	NA	SRD5A3	FLJ13352
HGNC:25812	NA	SRD5A3	SRD5A2L
HGNC:25812	NA	SRD5A3	SRD5A2L1
HGNC:11289	NA	SREBF1	SREBP1
HGNC:11289	NA	SREBF1	bHLHd1
HGNC:11289	NA	SREBF1	SREBP-1c
HGNC:11289	NA	SREBF1	SREBP1a
HGNC:11290	NA	SREBF2	SREBP2
HGNC:11290	NA	SREBF2	bHLHd2
HGNC:53953	NA	SREBF2-AS1	RP5
HGNC:53953	NA	SREBF2-AS1	821D11.7
HGNC:17882	NA	SREK1	DKFZp564B176
HGNC:17882	NA	SREK1	SRrp86
HGNC:17882	NA	SREK1	SRrp508
HGNC:26716	NA	SREK1IP1	FLJ36754
HGNC:26716	NA	SREK1IP1	P18SRP
HGNC:11291	NA	SRF	MCM1
HGNC:26333	NA	SRFBP1	FLJ25286
HGNC:26333	NA	SRFBP1	p49
HGNC:26333	NA	SRFBP1	STRAP
HGNC:26333	NA	SRFBP1	BUD22
HGNC:26333	NA	SRFBP1	Rlb1
HGNC:17382	NA	SRGAP1	KIAA1304
HGNC:17382	NA	SRGAP1	ARHGAP13
HGNC:19751	NA	SRGAP2	KIAA0456
HGNC:19751	NA	SRGAP2	ARHGAP34
HGNC:19751	NA	SRGAP2	SRGAP2A
HGNC:19744	NA	SRGAP3	KIAA0411
HGNC:19744	NA	SRGAP3	MEGAP
HGNC:19744	NA	SRGAP3	WRP
HGNC:19744	NA	SRGAP3	ARHGAP14
HGNC:9361	NA	SRGN	PPG
HGNC:11295	NA	SRL	SAR
HGNC:11296	NA	SRM	SPS1
HGNC:16552	NA	SRMP1	dJ1057D4.1
HGNC:11298	NA	SRMS	SRM
HGNC:11298	NA	SRMS	dJ697K14.1
HGNC:11298	NA	SRMS	PTK70
HGNC:11299	NA	SRP14	ALURBP
HGNC:11299	NA	SRP14	MGC14326
HGNC:30426	NA	SRP68P2	SRPSMCR
HGNC:30428	NA	SRP68P3	SRPSMCR
HGNC:31096	NA	SRP72P2	dJ274L14.2
HGNC:11305	NA	SRPK1	SFRSK1
HGNC:11306	NA	SRPK2	SFRSK2
HGNC:30303	NA	SRPK2P	SRPK2ps
HGNC:11402	NA	SRPK3	MSSK1
HGNC:11307	NA	SRPRA	SRP-alpha
HGNC:11307	NA	SRPRA	Sralpha
HGNC:11307	NA	SRPRA	SR-alpha
